,tweet,label
1794,india fights corona india report recovery 3rd successive day total recovered case close lakh highest world india's recovery rate cross landmark stay safe india will win,real
5020,continuing good news daily reported death continue fall today day average held steady,real
8129,people currently hospital one auckland city middlemore north shore hospital – none icu still significant cluster – cluster closed still level need keep working learning home,real
8616,15/03 ncdc directly contacted twitter user mentioned friend returned uk runny nose could reach authority testing within hour communication u via dm sample collected committed best,real
3838,india confirmed case count cross ten lakh maintaining position third-worst affected country world india first potential coronavirus vaccine bharat biotech covaxin begin human trial pgi rohtak today coronavirus coronavirus facts,fake
7784,vitamin help reduce coronavirus risk,fake
1741,country recommendation managing acute ischemic stroke covid,real
1658,idaho statesman situation idaho state-level access hospital data recent hospital data entered yesterday though reflects 7/13 — standard lag id data point,real
212,coronavirus like broken leg,fake
10094,hand one primary way infectious disease like covid19 spread take responsibility wash hand frequently soap running water second remember teach loved one around importance proper hand hygiene,real
9250,total death remain highest northeast nearly — certainly substantial undercount new york report death within long-term care facility linked facility occurring hospital,real
323,iranian published report saying coronavirus biological warfare,fake
10378,banner swastika “ trump ” “ penny ” michigan coronavirus protest,fake
1097,coronavirus updates round pushpin 📍 total covid19 case india august play button ▶ ️76 cured discharged migrated play button ▶ ️21 active case play button ▶ ️1 death total covid confirmed case cured discharged migrated active case death via,real
9359,today covid19 positive case shiva mogg a district karnataka covid 19 co vid covid 19 covidー19 covid19 india co vid updates coronavirus corona updates coronavirus india coronavirus updates coronavirus pandemic,real
4031,american coronavirus vaccine killed five ukrainian �,fake
334,medical director phe dr yvonne doyle say covid19 flu risky situation encourages people invited flu vaccine kay burley live update,real
1613,megaphone 📣 coming tonight head prevention programme knowledge management tuesday live discus covid19 nigeria tune dstv channel 251 join conversation time 10pm,real
4344,covid update new confirmed case covid one case linked cluster auckland household contact previously reported case two imported case ​ ​ total number active case imported case miq,real
792,we've made twitter list state dc public health department united state follow account stay current covid19,real
233,rightmove said activity aided current stamp duty holiday driven high demand garden space work home covid19 disrupts day-to-day life,real
3231,video show health worker turning back protest official car pass supposedly protest minister health spain salvador illa minister equality irene montero gregorio marañón hospital,fake
7537,coronavirus updates state-wise detail total confirmed covid19 case till august right arrow ➡ ️states 1-10000 confirmed case right arrow ➡ ️states 10001-90000 confirmed case right arrow ➡ ️states confirmed case right arrow ➡ ️total confirmed case far,real
4890,world cutest baby anahita suffering corona dangerous stay home stay safe,fake
10307,india fights corona india record highest ever single day recovery today recovery exceed active case lakh case fatality rate touch new low,real
6382,yesterday laboratory nationally processed test covid bringing total number test completed date ​ ​ total number confirmed case covid number report world health organization,real
7551,week nc dc team conducting hands-on training infection prevention control healthcare worker primary secondary tertiary health facility kwara committed strengthening ipc practice ensuring safety covid19 responder,real
4368,observing physical distance reduces risk contact droplet infected person sneeze cough take responsibility reduce risk covid19 spread check mark button ✅ wearing face mask check mark button ✅ observing physical distance check mark button ✅ washing hand frequently,real
2287,video say vatican confirmed pope francis two aide tested positive coronavirus,fake
2935,news boris johnson end lockdown immediate effect first full night spent screaming baby,fake
2956,government medium hide death coffin parking lot spain,fake
3524,new cruise ship travel could continue introduce transmit spread covid extended cruise ship sail order see latest update,real
8462,singapore's health ministry issued advisory day-to-day progression covid symptom patient first nine day infection,fake
871,food discarded sao paulo's governor decree,fake
1263,u president donald trump called philippine president rodrigo duterte ask help solve coronavirus “ handle ” constituent,fake
1618,video show president donald trump saying covid democrat “ new hoax ”,fake
5333,however comparing covid death flu death important make sure comparison rigorous two thread explain,real
5459,weekend lag effect may may play death we'll see tomorrow we're reaching new lower plateau we're going see higher number tuesday-friday,real
6491,new zealand also good position supply testing – current stock across country sufficient enable test,real
9193,health insurance industry agreed waive co-payments coronavirus treatment �,fake
3145,new case covid19 lagos kano jigawa yobe fct ogun plateau gombe imo edo kwara borno bauchi nasarawa ondo case covid19 nigeria discharged death,real
1220,latest cdc co vid view report show people continue highest rate covid19 associated hospitalization followed people age – hospitalization rate cumulative continue increase pandemic continues,real
9643,latest cdc co vid view report show percentage people testing positive covid19 percent medical visit symptom similar covid19 decreasing nationally learn,real
1765,india record new covid case second consecutive day row delhi cm arvind kejriwal announces plasma bank delhi help critically ill coronavirus patient covid 19 coronavirus facts,fake
4291,india fights corona india significantly ramped diagnostic lab network higher number test push positivity rate initially delhi experience amply shown eventually lower combined measure,real
6153,yesterday lab processed test past three day lab processed test test may take unto hour positive result reported promptly negative test may take longer return thank patience,real
6942,death rose today dataset note new york city reporting confirmed probable covid death state government city add death dataset count 52k fall cdc jhu,real
1513,mum calling check coronavirus,fake
4303,blamed past administration flawed coronavirus test test existed new virus emerged,fake
9275,cdc update expands list risk severe covid19 illness older adult people w underlying medical condition remain increased risk severe illness cdc defined age condition-related risk see today statement,real
8423,hospital bed constructed gujarat india day,fake
8267,bollywood superstar aamir khan donated r poor slum dweller one kg wheat flour packet,fake
8086,rt covid19 update backhand index pointing right 👉 total active case affected state backhand index pointing right 👉 maharashtra karnataka …,real
3773,industrial bleach sold amazon miracle mineral solution covid,fake
2701,transport sec grant shapps say uk critical moment controlling spread covid19 add clear week behind seeing europe kay burley read,real
9434,three story read afternoon red circle 🔴 uk record new case highest daily figure four month red circle 🔴 boris johnson reveals new covid rule red circle 🔴 scotland ban household visit,real
9123,number people state report hospitalized covid continues drop covid hospitalization currently south northeast fallen,real
2110,read people good level vitamin le chance severe covid worth supplementing,fake
7985,new coronavirus created chinese laboratory bill gate financed origin,fake
2615,expired sterilized n95 mask get job done,real
9534,cytokine storm overactivation immune system appear play major role severe covid outcome according unexpected new finding,real
4052,today active covid19 case ahmedabad district gujarat covid 19 covid 19 covidー19 corona updates coronavirus india coronavirus updates coronavirus co vid updates,real
2301,say nba asking donald trump resign never play �,fake
6984,new fad disease called coronavirus sweeping headline funny enough patent coronavirus filed granted,fake
617,rt covid19 significant public health challenge face nation century help protect fami …,real
6074,“ moment half-measures ... history forgive u waiting hour ” bay area able flatten the curve hope keep rest country safe must follow lead continue stay at home,real
5389,dataset compiled hour care attention wonderful volunteer dedication belief effort brought fruition thank enough,real
9545,cabinet review setting alert level june agreed later june week today consider move alert level covid19 covid19nz,real
745,white house grant covid green card visa,fake
5226,third week identified began contracting validated production quality pcr test first week feb began shipping test lab around world enabled world track trace covid19 around world quickly,real
2955,u maintain measure contain covid19 long practical cdc state local government also implement strategy minimize impact novel coronavirus u community,real
10288,lame coronavirus party infects people,fake
7965,italy's ministry health discovered covid death caused bacteria novel coronavirus,fake
9396,facebook user suggests confirmed case suspected case covid whereas declared positive people actually novel coronavirus,fake
8065,every election year disease coronavirus contagion factor cure rate 99.7 infects,fake
6023,bolivia approved use chlorine dioxide amid fight covid,fake
2586,sinclair broadcast group delaying airing interview conspiracy theorist baselessly claim dr fauci created coronavirus,fake
5066,india fights corona covid19 infection still remains concentrated state contribute new case,real
5838,latest cdc co vid view report show visit doctor office er illness symptom compatible covid19 continued decline remain stable low level likely part result widespread effort slow spread,real
4115,trump faint infected coronavirus,fake
5456,science clear meharry dr james hildreth say despite cdc backtrack covid airborne,fake
6032,parent covid19 well-child visit especially important child schedule child routine visit healthcare provider check child development provide recommended vaccine learn,real
